ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Brachionus-urceolaris-amazonicus	Brachionus		urceolaris	amazonicus	Koste & Robertson 1983	Amazoniana, 8: p.231, fig.1; syntypes: INPA, no cat. nr. indicated [valid as Brachionus amazonicus; name declinable]
Cathypna-amban	Cathypna		amban		Stewart 1908	Records of the Indian Museum., 2: p.320, fig.5; no deposited types known [junior subjective synonym of Lecane depressa (Bryce, 1891); name indeclinable]
Lophocharis-ambidentata	Lophocharis		ambidentata		De Ridder 1960	Verhandelingen van de Koninklijke Vlaamse Academie voor Wetenschappen, 65: p.166, fig.1; holotype: RBINS, no cat. nr. Indicated (deteriorated) [valid as Lophocharis ambidentata; name declinable]
Floscularia-ambigua	Floscularia		ambigua		Hudson 1883	Journal of the Royal Microscopical Society, 3: p.163, pl.4, fig.1; no deposited types known [valid as Collotheca ambigua; name declinable]
Macrotrachela-ambigua	Macrotrachela		ambigua		Donner 1965	in Donner, J, Ordnung Bdelloidea (Rotatoria- Rädertiere): p.152, fig.112k-l; no deposited types known [valid as Macrotrachela ambigua; name declinable]
Encentrum-ambiguum	Encentrum		ambiguum		Tzschaschel 1979	Mikrofauna des Meeresbodens, 71: p.52, figs.23,24; no deposited types known [valid as Wierzejskiella ambigua; name declinable]
Ascomorpha-agilis-americana	Ascomorpha		agilis	americana	Beauchamp 1932	Bulletin de la Société Zoologique de France, 57: p.446, fig.5; syntype: AMNH 480 [junior subjective synonym of nominotypical taxon; name declinable]
Callidina-perforata-americana	Callidina		perforata	americana	Murray 1907	American Naturalist, 41: p.97, figs.2,3; no deposited types known [valid as Habrotrocha perforata americana; name declinable]
Cephalodella-tenuiseta-americana	Cephalodella		tenuiseta	americana	Donner 1949	Archiv für Hydrobiologie, 42: p.325, fig.22; no deposited types known [valid as Cephalodella tenuiseta americana; name declinable]
Keratella-americana	Keratella		americana		Carlin 1943	Meddelanden Lunds Universitets Limnologiska Institution, 5: p.55,61, fig.7z; no deposited types known [valid as Keratella americana; name declinable]
Lepadella-latusinus-americana	Lepadella		latusinus	americana	Myers 1934	American Museum Novitates, 760: p.7, figs.19- 21; holotype: AMNH 761 [junior subjective synonym of Lepadella latusinus (Hilgendorf, 1899); name declinable]
Philodina-americana	Philodina		americana		Murray 1913	Journal of the Royal Microscopical Society, 33: p.235, pl.9, fig.5a-d; no deposited types known [valid as Philodina americana; name declinable]
Macrochaetus-americanus	Macrochaetus		americanus		Segers & Sarma 1993	Revue d'Hydrobiologie Tropicale, 26: p.178, fig.1; holotype: INPA Rot-048 [valid as Macrochaetus americanus; name declinable]
Philodina-amethystina	Philodina		amethystina		Bartoš 1951	Časopis Národního musea, oddíl přírodovědný, 118-119 (for 1949-1950): p.63; no deposited types known [valid as Philodina amethystina; name declinable]
Otostephanos-torquatus-amoenus	Otostephanos		torquatus	amoenus	Milne 1916	Journal of the Quekett Microscopical Club, (ser. 2) 13: p.173, pl.14, fig.20; no deposited types known [valid as Otostephanos torquatus amoenus; name declinable]
Lecane-amorpha	Lecane		amorpha		Harring 1914	Proceedings of the United States National Museum, 47: p.544, pl.23, figs.1-2; holotype: USNM 16580 [junior subjective synonym of Lecane inermis (Bryce, 1892); name declinable]
Scepanotrocha-haueri-amota	Scepanotrocha		haueri	amota	Donner 1962	Acta Zoologica Academiae Scientiarum Hungaricae, 8: p.306, fig.2e-j; no deposited types known [valid as Scepanotrocha haueri amota; name declinable]
Brachionus-amphiceros	Brachionus		amphiceros		Ehrenberg 1838	in Ehrenberg, C G, Die Infusionsthierchen als vollkommene Organismen. Ein Blick in das tiefere organische Leben der Natur: p.511, pl.63, fig.2; no deposited types known [junior subjective synonym of Brachionus calyciflorus Pallas, 1766; name indeclinable]
Habrotrocha-amphichlaena	Habrotrocha		amphichlaena		De Koning 1947	Biologisch Jaarboek (Dodonaea), 14: p.187, pl.2, fig.5; no deposited types known [valid as Habrotrocha amphichlaena; name indeclinable]
Brachionus-amphifurcatus	Brachionus		amphifurcatus		Imhof 1887	Zoologischer Anzeiger, 10: p.578; no deposited types known [junior subjective synonym of Brachionus diversicornis (Daday, 1883); name declinable]
Lepadella-amphitropis	Lepadella		amphitropis		Harring 1916	Proceedings of the United States National Museum, 51: p.543, pl.93, figs.9-12; holotype: USNM 16827 [valid as Lepadella amphitropis; name indeclinable]
Asplanchna-amphora	Asplanchna		amphora		Hudson 1889	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign. Supplement, p.13; no deposited types known [junior subjective synonym of Asplanchna sieboldii (Leydig, 1854); name indeclinable]
Encentrum-amphora	Encentrum		amphora		Remane 1929	in Remane, A, Rotatoria: p.137, fig.163; no deposited types known [valid as Wigrella amphora; name indeclinable]
Testudinella-amphora	Testudinella		amphora		Hauer 1938	Archiv für Hydrobiologie, Supplement, 15: p.557, fig.80; syntypes: SMF ?GPRot1980, GPRot2425 [valid as Testudinella amphora; name indeclinable]
Habrotrocha-ampulla	Habrotrocha		ampulla		Murray 1911	Journal of the Royal Microscopical Society, 31: p.11, pl.2, fig.6; no deposited types known [valid as Habrotrocha ampulla; name indeclinable]
Resticula-anceps	Resticula		anceps		Harring & Myers 1924	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, Arts and Letters, 21: p.519, pl.38, figs.5-8; syntype: AMNH 651 (deteriorated) [valid as Resticula anceps; name indeclinable]
Brachionus-anchorpora	Brachionus		anchorpora		Xu, Chen & Rao 1997	Journal of Fujian Teachers University (Natural Science), 13: p.77, figs.1-2; holotype: FNU 002 [junior subjective synonym of Brachionus durgae Dhanapathi, 1974; name indeclinable]
Brachionus-ancylognathus	Brachionus		ancylognathus		Schmarda 1859	in Schmarda, L K, Neue Turbellarien, Rotatorien und Anneliden beobachtet und gesammelt auf einer Reise um die Erde 1853 bis 1857. Erste Hälfte: p.65, pl.15, fig.137; no deposited types known [junior subjective synonym of Brachionus quadridentatus Hermann, 1783; name declinable]
Cephalodella-anebodica	Cephalodella		anebodica		Bērziņš 1976	in Berzins, B, Notes on the Rotifera from Aneboda: p.11, figs.18-20; no deposited types known [valid as Cephalodella anebodica; name declinable]
